t,26653.035000000003
h,26753.625000000004
a,26841.815
t,26907.745000000003
 ,27003.33
i,27124.335000000003
t,27295.230000000003
 ,27446.030000000002
c,27630.755
a,27747.715000000004
n,27814.615000000005
n,27976.795000000002
o,28070.97
t,28165.205000000005
 ,28249.315000000002
r,28409.655000000002
e,28471.460000000003
a,28550.415
l,28592.465
l,28727.175000000003
y,28853.940000000002
 ,28994.510000000002
b,29103.690000000002
e,29287.225000000002
 ,29445.525000000005
c,29661.335000000003
o,29760.700000000004
n,29850.355000000003
s,29986.54
i,30091.910000000003
d,30193.500000000004
e,30372.385000000002
r,30475.83
e,30563.955
d,30762.635000000002
 ,30896.045000000002
a,31177.25
 ,31368.990000000005
p,31535.770000000004
r,31751.465000000004
a,32478.885000000006
g,32814.84500000001
r,33026.86
a,33127.465000000004
p,33276.62
h,33337.630000000005
 ,33556.505000000005
b,33790.520000000004
u,33941.605
t,34043.595
 ,34173.085
j,34333.245
u,34500.175
s,34609.665
t,34684.35
 ,35283.78
a,35448.100000000006
 ,35591.585
s,35830.270000000004
e,35896.43
r,36038.915
i,36163.69
e,36212.93
s,36318.425
 ,36397.07000000001
o,36503.245
f,36836.69
 ,36959.94
r,37110.55
u,37210.08500000001
n,37433.135
 ,37558.25
o,37667.32000000001
n,37751.62500000001
 ,37861.405000000006
s,38026.985
e,38071.14
n,38164.335
t,38307.31
e,38429.565
n,38555.47
c,38678.845
e,38870.5
s,38987.845
 ,39070.66500000001
t,39230.045000000006
h,39281.075000000004
i,39549.880000000005
s,39654.69
 ,39783.05
w,39890.32
s,41079.02
h,41179.435000000005
o,41315.56500000001
u,41409.51500000001
l,41508.505000000005
d,41619.975000000006
 ,41721.200000000004
h,41857.525
e,41952.195
l,42072.87
p,42205.05
 ,42373.840000000004
y,42538.16
o,42669.915
u,42801.52500000001
 ,43068.885
g,43281.785
e,43389.920000000006
t,43473.57
 ,43590.6
f,43762.395000000004
a,43921.14
s,43977.355
t,44084.34500000001
e,44231.65
r,44320.905000000006
 ,44693.47000000001
a,45143.280000000006
t,45198.020000000004
 ,45315.425
t,45555.36
y,45679.205
p,45790.310000000005
i,45928.615
n,46001.365000000005
g,46110.64000000001
a,46341.35500000001
s,46723.76500000001
 ,46850.705
i,47023.475000000006
 ,47117.685000000005
a,47316.395000000004
m,47501.51500000001
 ,47856.97
t,48340.62
r,48517.32000000001
y,48556.245
i,48734.54
n,48836.865000000005
g,48915.73500000001
 ,49012.24500000001
n,49467.83000000001
o,49547.475000000006
t,49658.18
 ,49768.07
t,49893.420000000006
o,49966.745
 ,50076.91
u,50200.095
s,50277.18
